event_id,event_start_date,event_end_date,occurrence_year,occurrence_month,end_year,end_month,event_year,event_month,event_quarter,year_month,loss_amount_10k_cny,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,bank_involved_code_raw,num_banks_involved,primary_bank_code,province_occurred,city_occurred,causal_factor,event_type,business_line,event_duration_months,description
1,1999-08-01,2000-11-01,1999.0,8.0,2000.0,11.0,1999.0,8.0,3.0,1999-08,10200.0,102000000.0,0.0,102000000.0,18.440483381052466,Critical,1,"5,6,7,42",4,5,Shaanxi,Xi'an,People,Internal fraud,Commercial banking,15.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an."
2,1998-12-01,2000-11-01,1998.0,12.0,2000.0,11.0,1998.0,12.0,4.0,1998-12,420.0,4200000.0,0.0,4200000.0,15.250595321348806,High,0,4,1,4,Guangdong,Dongguan,People,Internal fraud,No business line,23.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Dongguan."
3,1997-07-01,2000-04-01,1997.0,7.0,2000.0,4.0,1997.0,7.0,3.0,1997-07,332.0,3320000.0,0.0,3320000.0,15.015475642097446,High,0,4,1,4,Guangdong,Shenzhen,People,Internal fraud,Payment and settlement,33.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Shenzhen."
4,2000-02-01,,2000.0,2.0,,,2000.0,2.0,1.0,2000-02,2102.0,21020000.0,0.0,21020000.0,16.860984970986816,Critical,1,4,1,4,Tianjin,,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Unknown city."
5,1995-02-01,2000-09-01,1995.0,2.0,2000.0,9.0,1995.0,2.0,1.0,1995-02,1580.0,15800000.0,0.0,15800000.0,16.575520561288332,Critical,1,4,1,4,Beijing,Beijing,People,Internal fraud,No business line,67.0,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
6,1995-05-01,,1995.0,5.0,2000.0,,1995.0,5.0,2.0,1995-05,4843.0,48430000.0,0.0,48430000.0,17.69563003502777,Critical,1,4,1,4,Chongqing,Chongqing,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing."
7,2000-03-01,2000-05-01,2000.0,3.0,2000.0,5.0,2000.0,3.0,1.0,2000-03,5600.0,56000000.0,0.0,56000000.0,17.840862266556567,Critical,1,4,1,4,Tianjin,Tianjin,People,Internal fraud,Commercial banking,2.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
8,1998-02-01,2001-02-01,1998.0,2.0,2001.0,2.0,1998.0,2.0,1.0,1998-02,371.0,3710000.0,0.0,3710000.0,15.126542704125361,High,0,4,1,4,Ningxia,Wuzhong,People,Internal fraud,No business line,36.0,"Operational risk event: Internal fraud caused by People in No business line located in Ningxia, Wuzhong."
9,,,1998.0,,2000.0,,,,,NaT,14000.0,140000000.0,0.0,140000000.0,18.757152987716434,Critical,1,4,1,4,Guangdong,,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Unknown city."
10,2000-09-01,2000-09-01,2000.0,9.0,2000.0,9.0,2000.0,9.0,3.0,2000-09,4900.0,49000000.0,0.0,49000000.0,17.707330876483063,Critical,1,4,1,4,Heilongjiang,Daqing,People,Internal fraud,Payment and settlement,0.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Daqing."
11,2000-11-01,2000-11-01,2000.0,11.0,2000.0,11.0,2000.0,11.0,4.0,2000-11,1.7,17000.0,0.0,17000.0,9.741027444837728,Low,0,7,1,7,Beijing,Beijing,People,"Clients, products & business practices",Retail banking,0.0,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Beijing, Beijing."
12,2000-03-01,2000-03-01,2000.0,3.0,2000.0,3.0,2000.0,3.0,1.0,2000-03,66.65,666500.0,0.0,666500.0,13.409796918974868,Medium,0,7,1,7,Yunnan,Chuxiong,People,Internal fraud,Retail banking,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Chuxiong."
13,,,1997.0,,2000.0,,,,,NaT,196.0572,1960572.0,0.0,1960572.0,14.488747335420436,High,0,7,1,7,Henan,Kaifeng,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Kaifeng."
14,,,2000.0,,2000.0,,,,,NaT,10000.0,100000000.0,0.0,100000000.0,18.420680753952364,Critical,1,7,1,7,Beijing,Beijing,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
15,2000-09-01,2000-12-01,2000.0,9.0,2000.0,12.0,2000.0,9.0,3.0,2000-09,66.7366,667366.0,0.0,667366.0,13.411095398467108,Medium,0,7,1,7,Anhui,Bengbu,People,Internal fraud,No business line,3.0,"Operational risk event: Internal fraud caused by People in No business line located in Anhui, Bengbu."
16,1997-11-01,1998-11-01,1997.0,11.0,1998.0,11.0,1997.0,11.0,4.0,1997-11,1467.0,14670000.0,0.0,14670000.0,16.501315218285487,Critical,1,7,1,7,Shaanxi,Weinan,People,Internal fraud,No business line,12.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan."
17,1997-09-01,2000-10-01,1997.0,9.0,2000.0,10.0,1997.0,9.0,3.0,1997-09,48444.0,484440000.0,0.0,484440000.0,19.998504144681363,Critical,1,7,1,7,Shaanxi,Xi'an,People,Internal fraud,Commercial banking,37.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shaanxi, Xi'an."
18,1997-03-01,2000-11-01,1997.0,3.0,2000.0,11.0,1997.0,3.0,1.0,1997-03,1176.0,11760000.0,0.0,11760000.0,16.280214585468766,Critical,1,7,1,7,Shaanxi,Weinan,People,Internal fraud,No business line,44.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Weinan."
19,1998-12-01,2002-05-01,1998.0,12.0,2002.0,5.0,1998.0,12.0,4.0,1998-12,3860.0,38600000.0,0.0,38600000.0,17.468762860341794,Critical,1,8,1,8,Guangdong,Shenzhen,People,Internal fraud,No business line,41.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shenzhen."
20,2000-10-01,2001-01-01,2000.0,10.0,2001.0,1.0,2000.0,10.0,4.0,2000-10,8950.0,89500000.0,0.0,89500000.0,18.309749194418266,Critical,1,8,1,8,Shandong,Jinan,People,Internal fraud,Payment and settlement,3.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shandong, Jinan."
21,1999-04-01,2000-09-01,1999.0,4.0,2000.0,9.0,1999.0,4.0,2.0,1999-04,1332.9,13329000.0,0.0,13329000.0,16.405452745610535,Critical,1,8,1,8,Shanghai,Shanghai,People,Internal fraud,No business line,17.0,"Operational risk event: Internal fraud caused by People in No business line located in Shanghai, Shanghai."
22,1998-10-01,2000-09-01,1998.0,10.0,2000.0,9.0,1998.0,10.0,4.0,1998-10,28000.0,280000000.0,0.0,280000000.0,19.450300164704952,Critical,1,"4,6",2,4,Guangdong,Heyuan,People,Internal fraud,Payment and settlement,23.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Guangdong, Heyuan."
23,2000-01-01,2000-09-01,2000.0,1.0,2000.0,9.0,2000.0,1.0,1.0,2000-01,38.5,385000.0,0.0,385000.0,12.861001210669146,Medium,0,5,1,5,Henan,Zhengzhou,People,Internal fraud,Retail banking,8.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhengzhou."
24,2000-08-01,2000-08-01,2000.0,8.0,2000.0,8.0,2000.0,8.0,3.0,2000-08,19.0,190000.0,0.0,190000.0,12.154784614286667,Medium,0,5,1,5,Shandong,,People,Internal fraud,Retail banking,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Shandong, Unknown city."
25,1996-08-01,,1996.0,8.0,2000.0,,1996.0,8.0,3.0,1996-08,80.0,800000.0,0.0,800000.0,13.592368256649284,Medium,0,153,1,153,Anhui,,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Unknown city."
26,2000-01-01,2000-01-01,2000.0,1.0,2000.0,1.0,2000.0,1.0,1.0,2000-01,82.53,825300.0,0.0,825300.0,13.623503447260642,Medium,0,5,1,5,Yunnan,Dehong,People,Internal fraud,Retail banking,0.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Yunnan, Dehong."
27,2000-06-01,2000-06-01,2000.0,6.0,2000.0,6.0,2000.0,6.0,2.0,2000-06,369.0,3690000.0,0.0,3690000.0,15.121137287019383,High,0,5,1,5,Chongqing,Chongqing,People,Internal fraud,Payment and settlement,0.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Chongqing, Chongqing."
28,1988-06-01,1995-07-01,1988.0,6.0,1995.0,7.0,1988.0,6.0,2.0,1988-06,286.28,2862799.9999999995,0.0,2862799.9999999995,14.867311074154888,High,0,5,1,5,Fujian,Nanping,People,Internal fraud,No business line,85.0,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Nanping."
29,1995-11-01,1999-03-01,1995.0,11.0,1999.0,3.0,1995.0,11.0,4.0,1995-11,239.9,2399000.0,0.0,2399000.0,14.690562958662095,High,0,5,1,5,Shaanxi,Yan'an,People,Internal fraud,No business line,40.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Yan'an."
30,1999-04-01,2000-04-01,1999.0,4.0,2000.0,4.0,1999.0,4.0,2.0,1999-04,11.0,110000.0,0.0,110000.0,11.608244735642321,Medium,0,5,1,5,Henan,Anyang,People,Internal fraud,No business line,12.0,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Anyang."
31,,2000-03-01,1995.0,,2000.0,3.0,,,,NaT,407.8,4078000.0,0.0,4078000.0,15.221117475334752,High,0,5,1,5,Yunnan,Kunming,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Yunnan, Kunming."
32,2000-07-01,2000-12-01,2000.0,7.0,2000.0,12.0,2000.0,7.0,3.0,2000-07,1200.0,12000000.0,0.0,12000000.0,16.300417291085605,Critical,1,5,1,5,Inner mongolia,Baotou,People,"Execution, delivery & process management",Payment and settlement,5.0,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Inner mongolia, Baotou."
33,1998-02-01,2000-01-01,1998.0,2.0,2000.0,1.0,1998.0,2.0,1.0,1998-02,3065.0,30650000.0,0.0,30650000.0,17.23814325297292,Critical,1,5,1,5,Sichuan,Yibin,People,Internal fraud,No business line,23.0,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Yibin."
34,1999-05-01,2000-07-01,1999.0,5.0,2000.0,7.0,1999.0,5.0,2.0,1999-05,4440.0,44400000.0,0.0,44400000.0,17.608750049924975,Critical,1,5,1,5,Gansu,Jiayuguan,People,Internal fraud,Payment and settlement,14.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Gansu, Jiayuguan."
35,1997-11-01,2000-03-01,1997.0,11.0,2000.0,3.0,1997.0,11.0,4.0,1997-11,51800.0,518000000.0,0.0,518000000.0,20.06548580215426,Critical,1,5,1,5,Inner mongolia,Ulanqab,People,Internal fraud,Payment and settlement,28.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Ulanqab."
36,1996-09-01,2000-05-01,1996.0,9.0,2000.0,5.0,1996.0,9.0,3.0,1996-09,37095.0,370950000.0,0.0,370950000.0,19.73157784329559,Critical,1,5,1,5,Inner mongolia,Hohhot,People,Internal fraud,Payment and settlement,44.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot."
37,,,,,,,,,,NaT,10.0,100000.0,0.0,100000.0,11.51293546492023,Medium,0,5,1,5,Henan,Zhoukou,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhoukou."
38,2000-04-01,,2000.0,4.0,2000.0,,2000.0,4.0,2.0,2000-04,450.0,4500000.0,0.0,4500000.0,15.319588176962746,High,0,5,1,5,Hainan,Sanya,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Hainan, Sanya."
39,1994-06-01,,1994.0,6.0,2000.0,,1994.0,6.0,2.0,1994-06,5000.0,50000000.0,0.0,50000000.0,17.72753358339242,Critical,1,"5,6",2,5,Sichuan,Chengdu,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Chengdu."
40,2000-05-01,2000-10-01,2000.0,5.0,2000.0,10.0,2000.0,5.0,2.0,2000-05,900.0,9000000.0,0.0,9000000.0,16.012735246411598,High,0,"4,7,43",3,4,Inner mongolia,Baotou,People,Internal fraud,Payment and settlement,5.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Baotou."
41,1999-05-01,2000-08-01,1999.0,5.0,2000.0,8.0,1999.0,5.0,2.0,1999-05,759.0,7590000.0,0.0,7590000.0,15.84234228112411,High,0,6,1,6,Shaanxi,Xi'an,People,Internal fraud,No business line,15.0,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Xi'an."
42,1996-03-01,2000-12-01,1996.0,3.0,2000.0,12.0,1996.0,3.0,1.0,1996-03,1439.5,14395000.0,0.0,14395000.0,16.482391551496978,Critical,1,6,1,6,Henan,Xuchang,People,Internal fraud,No business line,57.0,"Operational risk event: Internal fraud caused by People in No business line located in Henan, Xuchang."
43,1999-10-01,2000-06-01,1999.0,10.0,2000.0,6.0,1999.0,10.0,4.0,1999-10,5600.0,56000000.0,0.0,56000000.0,17.840862266556567,Critical,1,6,1,6,Tianjin,Tianjin,People,Internal fraud,Commercial banking,8.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
44,1994-11-01,2000-05-01,1994.0,11.0,2000.0,5.0,1994.0,11.0,4.0,1994-11,30.3487,303487.0,0.0,303487.0,12.623097349985022,Medium,0,6,1,6,Beijing,,People,Internal fraud,Retail banking,66.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Beijing, Unknown city."
45,2000-01-01,2000-03-01,2000.0,1.0,2000.0,3.0,2000.0,1.0,1.0,2000-01,900.0,9000000.0,0.0,9000000.0,16.012735246411598,High,0,"5,6",2,5,Inner mongolia,Hohhot,People,Internal fraud,Payment and settlement,2.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Inner mongolia, Hohhot."
46,1999-11-01,2000-11-01,1999.0,11.0,2000.0,11.0,1999.0,11.0,4.0,1999-11,2700.0,27000000.0,0.0,27000000.0,17.11134746100564,Critical,1,6,1,6,Jilin,Changchun,People,Internal fraud,Commercial banking,12.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun."
47,2000-02-01,,2000.0,2.0,2000.0,,2000.0,2.0,1.0,2000-02,3000.0,30000000.0,0.0,30000000.0,17.216707972959764,Critical,1,18,1,18,Beijing,Beijing,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Beijing, Beijing."
48,1997-09-01,2000-06-01,1997.0,9.0,2000.0,6.0,1997.0,9.0,3.0,1997-09,6960.0,69600000.0,0.0,69600000.0,18.058275139672464,Critical,1,14,1,14,Beijing,Beijing,People,Internal fraud,Commercial banking,33.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
49,,,1993.0,,1999.0,,,,,NaT,20230.0,202300000.0,0.0,202300000.0,19.125262307081126,Critical,1,22,1,22,Beijing,Beijing,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
50,,,,,,,,,,NaT,356.9,3569000.0,0.0,3569000.0,15.087796282662788,High,0,22,1,22,Beijing,Beijing,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Beijing, Beijing."
51,2000-12-01,,2000.0,12.0,,,2000.0,12.0,4.0,2000-12,500.0,5000000.0,0.0,5000000.0,15.424948670398354,High,0,23,1,23,Tianjin,Tianjin,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Tianjin, Tianjin."
52,1999-07-01,,1999.0,7.0,2001.0,,1999.0,7.0,3.0,1999-07,1000.0,10000000.0,0.0,10000000.0,16.118095750958314,Critical,1,23,1,23,Tianjin,Tianjin,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Tianjin, Tianjin."
53,2000-10-01,2001-04-01,2000.0,10.0,2001.0,4.0,2000.0,10.0,4.0,2000-10,500.0,5000000.0,0.0,5000000.0,15.424948670398354,High,0,35,1,35,Shanxi,,People,Internal fraud,No business line,6.0,"Operational risk event: Internal fraud caused by People in No business line located in Shanxi, Unknown city."
54,1997-01-01,,1997.0,1.0,,,1997.0,1.0,1.0,1997-01,500.0,5000000.0,0.0,5000000.0,15.424948670398354,High,0,44,1,44,Guangdong,Shantou,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou."
55,2000-03-01,2000-08-01,2000.0,3.0,2000.0,8.0,2000.0,3.0,1.0,2000-03,240.0,2400000.0,0.0,2400000.0,14.690979711984754,High,0,44,1,44,Guangdong,Shantou,People,Internal fraud,No business line,5.0,"Operational risk event: Internal fraud caused by People in No business line located in Guangdong, Shantou."
56,2000-06-01,2000-09-01,2000.0,6.0,2000.0,9.0,2000.0,6.0,2.0,2000-06,1410.0,14100000.0,0.0,14100000.0,16.46168542627038,Critical,1,17,1,17,Fujian,Fuzhou,People,Internal fraud,Payment and settlement,3.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Fujian, Fuzhou."
57,1999-05-01,2000-09-01,1999.0,5.0,2000.0,9.0,1999.0,5.0,2.0,1999-05,20000.0,200000000.0,0.0,200000000.0,19.11382792951231,Critical,1,,0,,Heilongjiang,Harbin,People,Internal fraud,Payment and settlement,16.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Heilongjiang, Harbin."
58,1998-04-01,2000-11-01,1998.0,4.0,2000.0,11.0,1998.0,4.0,2.0,1998-04,300.0,3000000.0,0.0,3000000.0,14.914123179965662,High,0,,0,,Jiangsu,Nanjing,People,Internal fraud,Commercial banking,31.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jiangsu, Nanjing."
59,2000-10-01,,2000.0,10.0,2000.0,,2000.0,10.0,4.0,2000-10,36.0,360000.0,0.0,360000.0,12.793862088206213,Medium,0,153,1,153,Hainan,,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Hainan, Unknown city."
60,,,2000.0,,2000.0,,,,,NaT,7.0,70000.0,0.0,70000.0,11.156264806643742,Low,0,153,1,153,Anhui,Bozhou,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Anhui, Bozhou."
61,1997-03-01,2001-11-01,1997.0,3.0,2001.0,11.0,1997.0,3.0,1.0,1997-03,1241.0,12410000.0,0.0,12410000.0,16.334013237760963,Critical,1,3,1,3,Beijing,Beijing,People,Internal fraud,No business line,56.0,"Operational risk event: Internal fraud caused by People in No business line located in Beijing, Beijing."
62,1993-07-01,,1993.0,7.0,,,1993.0,7.0,3.0,1993-07,98.0,980000.0,0.0,980000.0,13.795308871054397,Medium,0,,0,,Guangdong,Guangzhou,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Guangdong, Guangzhou."
63,2000-12-01,2000-12-01,2000.0,12.0,2000.0,12.0,2000.0,12.0,4.0,2000-12,140.0,1400000.0,0.0,1400000.0,14.151983508870947,High,0,,0,,Shandong,Yantai,People,Internal fraud,Commercial banking,0.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Shandong, Yantai."
64,2000-02-01,2000-02-01,2000.0,2.0,2000.0,2.0,2000.0,2.0,1.0,2000-02,500.0,5000000.0,0.0,5000000.0,15.424948670398354,High,0,6,1,6,Beijing,Beijing,People,Internal fraud,Corporate finance,0.0,"Operational risk event: Internal fraud caused by People in Corporate finance located in Beijing, Beijing."
65,,2000-04-01,1996.0,,2000.0,4.0,,,,NaT,149098.5,1490985000.0,0.0,1490985000.0,21.12270281298693,Critical,1,5153,1,5153,Sichuan,Dazhou,People,Internal fraud,Commercial banking,,"Operational risk event: Internal fraud caused by People in Commercial banking located in Sichuan, Dazhou."
66,1997-03-01,2000-10-01,1997.0,3.0,2000.0,10.0,1997.0,3.0,1.0,1997-03,19000.0,190000000.0,0.0,190000000.0,19.06253463538792,Critical,1,153,1,153,Chongqing,Chongqing,People,Internal fraud,Commercial banking,43.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Chongqing, Chongqing."
67,,,2000.0,,2006.0,,,,,NaT,1872.0,18720000.0,0.0,18720000.0,16.74510308243252,Critical,1,4,1,4,Shaanxi,Xi'an,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Shaanxi, Xi'an."
68,,2000-06-01,1995.0,,2000.0,6.0,,,,NaT,32800.0,328000000.0,0.0,328000000.0,19.6085241693972,Critical,1,4,1,4,Guangdong,Guangzhou,People,Internal fraud,Trading & sales,,"Operational risk event: Internal fraud caused by People in Trading & sales located in Guangdong, Guangzhou."
69,2000-06-01,2003-02-01,2000.0,6.0,2003.0,2.0,2000.0,6.0,2.0,2000-06,1844.0,18440000.0,0.0,18440000.0,16.730032830322656,Critical,1,7,1,7,Hubei,Xiangyang,People,Internal fraud,Trading & sales,32.0,"Operational risk event: Internal fraud caused by People in Trading & sales located in Hubei, Xiangyang."
70,2000-08-01,2001-10-01,2000.0,8.0,2001.0,10.0,2000.0,8.0,3.0,2000-08,62.0,620000.0,0.0,620000.0,13.3374763699232,Medium,0,4,1,4,Yunnan,Kunming,People,Internal fraud,Payment and settlement,14.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Yunnan, Kunming."
71,2001-04-01,2001-08-01,2001.0,4.0,2001.0,8.0,2001.0,4.0,2.0,2001-04,197.0168,1970168.0,0.0,1970168.0,14.493629883836725,High,0,4,1,4,Henan,Sanmenxia,People,Internal fraud,Payment and settlement,4.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Henan, Sanmenxia."
72,,,2001.0,,2001.0,,,,,NaT,10.89,108900.0,0.0,108900.0,11.598194491615347,Medium,0,4,1,4,Shanghai,Shanghai,People,"Execution, delivery & process management",Payment and settlement,,"Operational risk event: Execution, delivery & process management caused by People in Payment and settlement located in Shanghai, Shanghai."
73,2001-07-01,2001-07-01,2001.0,7.0,2001.0,7.0,2001.0,7.0,3.0,2001-07,36.7,367000.0,0.0,367000.0,12.813119851828635,Medium,0,4,1,4,Fujian,Longyan,People,Internal fraud,No business line,0.0,"Operational risk event: Internal fraud caused by People in No business line located in Fujian, Longyan."
74,,,2001.0,,2001.0,,,,,NaT,0.6,6000.0,0.0,6000.0,8.699681400989514,Low,0,4,1,4,Shanghai,Shanghai,People,Internal fraud,Retail banking,,"Operational risk event: Internal fraud caused by People in Retail banking located in Shanghai, Shanghai."
75,2001-10-01,2001-10-01,2001.0,10.0,2001.0,10.0,2001.0,10.0,4.0,2001-10,3.19,31900.0,0.0,31900.0,10.370392636243981,Low,0,4,1,4,Henan,Nanyang,People,"Execution, delivery & process management",Retail banking,0.0,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Henan, Nanyang."
76,2002-06-01,2002-09-01,2002.0,6.0,2002.0,9.0,2002.0,6.0,2.0,2002-06,4.9,49000.0,0.0,49000.0,10.799595985047786,Low,0,4,1,4,Sichuan,,People,Internal fraud,Retail banking,3.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Sichuan, Unknown city."
77,,,2001.0,,2001.0,,,,,NaT,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,4,1,4,Guangdong,Shenzhen,People,"Execution, delivery & process management",Retail banking,,"Operational risk event: Execution, delivery & process management caused by People in Retail banking located in Guangdong, Shenzhen."
78,2000-09-01,,2000.0,9.0,2001.0,,2000.0,9.0,3.0,2000-09,5400.0,54000000.0,0.0,54000000.0,17.804494623047066,Critical,1,"4,7",2,4,Beijing,Beijing,People,External fraud,Commercial banking,,"Operational risk event: External fraud caused by People in Commercial banking located in Beijing, Beijing."
79,,,2000.0,,2001.0,,,,,NaT,4.6438,46438.0,0.0,46438.0,10.745894902418918,Low,0,7,1,7,Shaanxi,Xianyang,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Shaanxi, Xianyang."
80,2000-04-01,2003-03-01,2000.0,4.0,2003.0,3.0,2000.0,4.0,2.0,2000-04,34.0,340000.0,0.0,340000.0,12.73670383776449,Medium,0,7,1,7,Tianjin,Tianjin,People,Internal fraud,No business line,35.0,"Operational risk event: Internal fraud caused by People in No business line located in Tianjin, Tianjin."
81,2001-12-01,,2001.0,12.0,2003.0,,2001.0,12.0,4.0,2001-12,100.0,1000000.0,0.0,1000000.0,13.815511557963774,High,0,7,1,7,Shaanxi,Yan'an,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Shaanxi, Yan'an."
82,1997-04-01,2002-06-01,1997.0,4.0,2002.0,6.0,1997.0,4.0,2.0,1997-04,200.0,2000000.0,0.0,2000000.0,14.508658238524095,High,0,7,1,7,Sichuan,Meishan,People,Internal fraud,No business line,62.0,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Meishan."
83,1999-04-01,2001-01-01,1999.0,4.0,2001.0,1.0,1999.0,4.0,2.0,1999-04,500.0,5000000.0,0.0,5000000.0,15.424948670398354,High,0,7,1,7,Liaoning,Shenyang,People,Internal fraud,Payment and settlement,21.0,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Liaoning, Shenyang."
84,,2001-04-01,1999.0,,2001.0,4.0,,,,NaT,54194.0,541940000.0,0.0,541940000.0,20.11066585401431,Critical,1,7,1,7,Jilin,Changchun,People,Internal fraud,No business line,,"Operational risk event: Internal fraud caused by People in No business line located in Jilin, Changchun."
85,1999-12-01,2001-04-01,1999.0,12.0,2001.0,4.0,1999.0,12.0,4.0,1999-12,32844.0,328440000.0,0.0,328440000.0,19.60986473384956,Critical,1,7,1,7,Jilin,Changchun,People,Internal fraud,Commercial banking,16.0,"Operational risk event: Internal fraud caused by People in Commercial banking located in Jilin, Changchun."
86,,,2001.0,,2001.0,,,,,NaT,1.3365,13365.0,0.0,13365.0,9.500469448071016,Low,0,7,1,7,Fujian,Ningde,People,"Clients, products & business practices",Retail banking,,"Operational risk event: Clients, products & business practices caused by People in Retail banking located in Fujian, Ningde."
87,1998-12-01,2001-05-01,1998.0,12.0,2001.0,5.0,1998.0,12.0,4.0,1998-12,413.0,4130000.0,0.0,4130000.0,15.233788207067937,High,0,7,1,7,Sichuan,Dazhou,People,Internal fraud,No business line,29.0,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Dazhou."
88,1997-07-01,2001-02-01,1997.0,7.0,2001.0,2.0,1997.0,7.0,3.0,1997-07,1420.0,14200000.0,0.0,14200000.0,16.468752592994022,Critical,1,8,1,8,Henan,Zhengzhou,People,Internal fraud,Retail banking,43.0,"Operational risk event: Internal fraud caused by People in Retail banking located in Henan, Zhengzhou."
89,,,2000.0,,2001.0,,,,,NaT,14610.0,146100000.0,0.0,146100000.0,18.799801883565554,Critical,1,8,1,8,Liaoning,Jinzhou,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Liaoning, Jinzhou."
90,2000-10-01,2001-03-01,2000.0,10.0,2001.0,3.0,2000.0,10.0,4.0,2000-10,11.6,116000.0,0.0,116000.0,11.661354090741,Medium,0,5,1,5,Sichuan,Dazhou,People,Internal fraud,No business line,5.0,"Operational risk event: Internal fraud caused by People in No business line located in Sichuan, Dazhou."
